laureate_id,name,category,year,birth_location,birth_lat,birth_lon,work_location,work_lat,work_lon,notes
medicine_1944_338,Herbert Spencer Gasser,medicine,1944,"Platteville, WI, USA",42.736944,-90.4775,"New York, NY, USA",40.715758,-74.0113,
medicine_1944_337,Joseph Erlanger,medicine,1944,"San Francisco, CA, USA",37.774498,-122.429706,"St. Louis, MO, USA",38.628133,-90.212222,
medicine_1945_340,Ernst Boris Chain,medicine,1945,"Berlin, Germany",52.522265,13.406852,"Oxford, United Kingdom",51.753363,-1.260979,
medicine_1945_339,Sir Alexander Fleming,medicine,1945,"Lochfield, Scotland",55.685,4.342,"London, United Kingdom",51.510235,-0.120852,
medicine_1945_341,Sir Howard Walter Florey,medicine,1945,"Adelaide, Australia",-34.92694,138.598792,"Oxford, United Kingdom",51.753363,-1.260979,
medicine_1946_342,Hermann Joseph Muller,medicine,1946,"New York, NY, USA",40.715758,-74.0113,"Bloomington, IN, USA",39.1655,-86.526591,
medicine_1947_345,Bernardo Alberto Houssay,medicine,1947,"Buenos Aires, Argentina",-34.603443,-58.396729,"Buenos Aires, Argentina",-34.603443,-58.396729,
medicine_1947_343,Carl Ferdinand Cori,medicine,1947,"Prague, Austria-Hungary",50.07507,14.42989,"St. Louis, MO, USA",38.628133,-90.212222,
medicine_1947_344,"Gerty Theresa Cori, née Radnitz",medicine,1947,"Prague, Austria-Hungary",50.07507,14.42989,"St. Louis, MO, USA",38.628133,-90.212222,
medicine_1948_346,Paul Hermann Müller,medicine,1948,"Olten, Switzerland",47.558109,7.587826,"Basel, Switzerland",47.560153,7.58788,
medicine_1949_348,António Caetano de Abreu Freire Egas Moniz,medicine,1949,"Avanca, Portugal",40.806589,-8.572261,"Lisbon, Portugal",38.722625,-9.144632,
medicine_1949_347,Walter Rudolf Hess,medicine,1949,"Frauenfeld, Switzerland",47.5536,8.898754,"Zurich, Switzerland",47.376909,8.541697,
medicine_1950_349,Edward Calvin Kendall,medicine,1950,"South Norwalk, CT, USA",41.093611,-73.418611,"Rochester, MN, USA",44.013985,-92.484608,
medicine_1950_351,Philip Showalter Hench,medicine,1950,"Pittsburgh, PA, USA",40.440136,-80.008661,"Rochester, MN, USA",44.013985,-92.484608,
medicine_1950_350,Tadeus Reichstein,medicine,1950,"Wloclawek, Poland",52.647633,19.068357,"Basel, Switzerland",47.560153,7.58788,
medicine_1951_352,Max Theiler,medicine,1951,"Pretoria, South Africa",-25.746389,28.188056,"New York, NY, USA",40.715758,-74.0113,
medicine_1952_353,Selman Abraham Waksman,medicine,1952,"Priluka, Russian Empire",49.3734,28.6989,"New Brunswick, NJ, USA",40.485758,-74.450925,
medicine_1953_355,Fritz Albert Lipmann,medicine,1953,"Koenigsberg, Germany",54.716667,20.5,"Boston, MA, USA",42.36042,-71.05681,
medicine_1953_354,Hans Adolf Krebs,medicine,1953,"Hildesheim, Germany",52.156017,9.956681,"Sheffield, United Kingdom",53.38168,-1.474057,
medicine_1954_358,Frederick Chapman Robbins,medicine,1954,"Auburn, AL, USA",32.597778,-85.480833,"Cleveland, OH, USA",41.496386,-81.710675,
medicine_1954_356,John Franklin Enders,medicine,1954,"West Hartford, CT, USA",41.358658,-72.151939,"Boston, MA, USA",42.36042,-71.05681,
medicine_1954_357,Thomas Huckle Weller,medicine,1954,"Ann Arbor, MI, USA",42.281061,-83.745758,"Boston, MA, USA",42.36042,-71.05681,
medicine_1955_359,Axel Hugo Theodor Theorell,medicine,1955,"Linköping, Sweden",58.409418,15.625656,"Stockholm, Sweden",59.325371,18.070794,
medicine_1956_360,André Frédéric Cournand,medicine,1956,"Paris, France",48.860093,2.355954,"New York, NY, USA",40.715758,-74.0113,
medicine_1956_362,Dickinson W. Richards,medicine,1956,"Orange, NJ, USA",40.768056,-74.236111,"New York, NY, USA",40.715758,-74.0113,
medicine_1956_361,Werner Forssmann,medicine,1956,"Berlin, Germany",52.522265,13.406852,"Mainz, Germany",49.992514,8.249395,
medicine_1957_363,Daniel Bovet,medicine,1957,"Neuchâtel, Switzerland",46.99014,6.929775,"Rome, Italy",41.902288,12.506464,
medicine_1958_365,Edward Lawrie Tatum,medicine,1958,"Boulder, CO, USA",40.014316,-105.269847,"New York, NY, USA",40.715758,-74.0113,
medicine_1958_364,George Wells Beadle,medicine,1958,"Wahoo, NE, USA",41.211111,-96.619806,"Pasadena, CA, USA",34.150071,-118.142111,
medicine_1958_366,Joshua Lederberg,medicine,1958,"Montclair, NJ, USA",40.82593,-74.20903,"Madison, WI, USA",43.071835,-89.386688,
medicine_1959_368,Arthur Kornberg,medicine,1959,"Brooklyn, NY, USA",40.676379,-73.949819,"Stanford, CA, USA",37.424734,-122.163858,
medicine_1959_367,Severo Ochoa,medicine,1959,"Luarca, Spain",43.542136,-6.535927,"New York, NY, USA",40.715758,-74.0113,
medicine_1960_370,Peter Brian Medawar,medicine,1960,"Rio de Janeiro, Brazil",-22.911111,-43.205556,"London, United Kingdom",51.510235,-0.120852,
medicine_1960_369,Sir Frank Macfarlane Burnet,medicine,1960,"Traralgon, Australia",-38.195806,146.54,"Melbourne, Australia",-37.797306,144.929422,
medicine_1961_371,Georg von Békésy,medicine,1961,"Budapest, Hungary",47.497799,19.038285,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1962_372,Francis Harry Compton Crick,medicine,1962,"Northampton, United Kingdom",52.233333,-0.9,"Cambridge, United Kingdom",52.194605,0.135092,
medicine_1962_373,James Dewey Watson,medicine,1962,"Chicago, IL, USA",41.876228,-87.638416,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1962_374,Maurice Hugh Frederick Wilkins,medicine,1962,"Pongaroa, New Zealand",-40.544518,176.190327,"London, United Kingdom",51.510235,-0.120852,
medicine_1963_376,Alan Lloyd Hodgkin,medicine,1963,"Banbury, United Kingdom",52.061389,-1.339167,"Cambridge, United Kingdom",52.194605,0.135092,
medicine_1963_377,Andrew Fielding Huxley,medicine,1963,"Hampstead, United Kingdom",51.554167,-0.174444,"London, United Kingdom",51.510235,-0.120852,
medicine_1963_375,Sir John Carew Eccles,medicine,1963,"Melbourne, Australia",-37.797306,144.929422,"Canberra, Australia",-35.280192,149.130915,
medicine_1964_379,Feodor Lynen,medicine,1964,"Munich, Germany",48.134703,11.581995,"Munich, Germany",48.134703,11.581995,
medicine_1964_378,Konrad Bloch,medicine,1964,"Neisse, Germany",50.471389,17.333889,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1965_381,André Lwoff,medicine,1965,"Ainay-le-Château, France",46.711389,2.6925,"Paris, France",48.860093,2.355954,
medicine_1965_380,François Jacob,medicine,1965,"Nancy, France",48.691336,6.185111,"Paris, France",48.860093,2.355954,
medicine_1965_382,Jacques Monod,medicine,1965,"Paris, France",48.860093,2.355954,"Paris, France",48.860093,2.355954,
medicine_1966_384,Charles Brenton Huggins,medicine,1966,"Halifax, Nova Scotia, Canada",44.647778,-63.571389,"Chicago, IL, USA",41.876228,-87.638416,
